id_processo,tipo_processo,area_juridica,data_distribuicao,data_sentenca,data_transito_julgado,status,valor_causa,resultado_final,custos_legais,honorarios_advogado,responsavel_interno,escritorio_externo,tribunal,comarca,instancia,risco_inicial
P_0011,Regulatório,Compliance,2023-07-14,2024-01-21,2024-06-26,Finalizado,6211939.32,Ganho,257444.24,470431.49,Carla Souza,Lex Consultoria,TRF3,Campinas,Segunda Instância,Alto
P_0012,Tributário,Fiscal,2021-01-18,2022-03-07,2022-06-17,Finalizado,476068.81,Perdido,12291.49,19318.14,Carla Souza,Santos & Almeida Consultoria,TRF2,Vitória,Administrativo,Alto
P_0013,Cível,Imobiliário,2023-12-26,2025-03-20,2025-07-15,Finalizado,4901344.6,Acordo,229905.91,76213.14,Daniel Oliveira,Jurídico Soluções,STF,Curitiba,Primeira Instância,Baixo
P_0014,Tributário,Planejamento Tributário,2020-03-25,2021-06-04,2021-10-22,Finalizado,1447557.41,Ganho,61128.78,40092.9,Gustavo Pires,Lex Consultoria,TJRJ,Fortaleza,Tribunais Superiores,Médio
P_0015,Regulatório,Compliance,2022-01-29,,,Ativo,6472877.94,Em Andamento,45266.66,530311.91,Bruno Costa,Jurídico Soluções,TJMG,Brasília,Segunda Instância,Muito Alto
P_0016,Propriedade Intelectual,Patentes,2020-12-31,,,Ativo,925074.57,Em Andamento,31794.06,11347.97,Carla Souza,Lex Consultoria,STJ,Recife,Tribunais Superiores,Baixo
P_0017,Ambiental,Licenciamento,2022-01-02,,,Ativo,6313824.84,Em Andamento,125497.28,289932.02,Gustavo Pires,Advogados Associados LTDA,TJRJ,Salvador,Administrativo,Médio
P_0018,Propriedade Intelectual,Patentes,2023-03-17,,,Ativo,8976954.57,Em Andamento,296204.14,94072.38,Gustavo Pires,Global Law,TRT1,Curitiba,Administrativo,Muito Alto
P_0019,Regulatório,Compliance,2020-06-30,2021-06-11,2021-08-29,Finalizado,4888670.62,Ganho,52970.92,164450.37,Fernanda Lima,Martins & Oliveira Advogados,TJSP,Salvador,Administrativo,Médio
P_0020,Ambiental,Sanções,2022-07-06,,,Ativo,5544509.2,Em Andamento,17510.36,62561.81,Gustavo Pires,Jurídico Soluções,ANVISA,Recife,Primeira Instância,Baixo
P_0021,Trabalhista,Acidentes de Trabalho,2020-06-22,2021-09-16,2021-10-11,Finalizado,7622097.76,Perdido,187714.41,537651.67,Daniel Oliveira,Martins & Oliveira Advogados,ANVISA,Salvador,Administrativo,Médio
P_0022,Regulatório,Compliance,2022-05-04,2023-01-12,2023-05-10,Finalizado,2730622.72,Ganho,120023.23,138352.96,Bruno Costa,Global Law,TRF1,Salvador,Administrativo,Muito Alto
P_0023,Tributário,Planejamento Tributário,2022-12-05,2024-02-13,2024-04-26,Finalizado,5358103.3,Ganho,178650.46,252294.26,Carla Souza,Jurídico Soluções,TRT3,Recife,Segunda Instância,Médio
P_0024,Trabalhista,Previdenciário,2022-09-19,2022-10-27,2022-12-26,Finalizado,5283542.37,Perdido,139765.94,136607.58,Daniel Oliveira,Advogados Associados LTDA,TRT1,Vitória,Tribunais Superiores,Baixo
P_0025,Propriedade Intelectual,Marcas,2022-03-05,2022-11-01,2023-01-13,Finalizado,9908877.49,Ganho,254286.73,558821.85,Carla Souza,Advogados Associados LTDA,STJ,Curitiba,Administrativo,Muito Alto
P_0026,Societário,Governança,2020-05-21,2021-04-16,2021-06-13,Finalizado,6541687.66,Acordo,138811.39,299881.54,Bruno Costa,Lex Consultoria,TRT3,Belo Horizonte,Segunda Instância,Muito Alto
P_0027,Ambiental,Sanções,2020-01-03,2020-10-13,2021-04-08,Finalizado,5119065.23,Ganho,201230.12,40283.68,Ana Silva,Lex Consultoria,STJ,Belo Horizonte,Primeira Instância,Alto
P_0028,Regulatório,Compliance,2022-09-06,2023-09-09,2024-02-07,Finalizado,5987702.28,Ganho,115804.46,464968.88,Gustavo Pires,Martins & Oliveira Advogados,TRF1,Fortaleza,Tribunais Superiores,Baixo
P_0029,Tributário,Planejamento Tributário,2020-01-09,2020-10-07,2021-02-01,Finalizado,3614013.38,Ganho,132540.26,183904.87,Carla Souza,Santos & Almeida Consultoria,TRT1,Porto Alegre,Administrativo,Muito Alto
P_0030,Regulatório,Setorial,2024-01-17,2024-12-31,2025-02-06,Finalizado,2043326.06,Perdido,80733.8,172854.94,Daniel Oliveira,Martins & Oliveira Advogados,STJ,Curitiba,Primeira Instância,Muito Alto
P_0031,Ambiental,Licenciamento,2021-12-13,2023-03-26,2023-05-11,Finalizado,7958836.33,Perdido,281283.08,714544.27,Gustavo Pires,Lex Consultoria,TJRJ,Belo Horizonte,Tribunais Superiores,Baixo
P_0032,Trabalhista,Previdenciário,2022-03-17,,,Ativo,7496608.79,Em Andamento,108451.2,450369.63,Gustavo Pires,Lex Consultoria,STF,Salvador,Tribunais Superiores,Muito Alto
P_0033,Ambiental,Licenciamento,2021-12-15,2023-01-31,2023-05-28,Finalizado,6903615.49,Perdido,290108.37,258894.41,Gustavo Pires,Jurídico Soluções,STJ,Curitiba,Primeira Instância,Alto
P_0034,Trabalhista,Acidentes de Trabalho,2022-08-09,,,Ativo,2369437.95,Em Andamento,91313.03,165297.25,Bruno Costa,Jurídico Soluções,TJSP,Belo Horizonte,Segunda Instância,Alto
P_0035,Propriedade Intelectual,Marcas,2021-01-14,,,Ativo,3257016.28,Em Andamento,29864.88,33954.56,Bruno Costa,Santos & Almeida Consultoria,TRT2,Fortaleza,Administrativo,Alto
P_0036,Trabalhista,RH,2021-11-08,2022-01-19,2022-06-09,Finalizado,7537240.35,Acordo,143707.22,73618.19,Gustavo Pires,Lex Consultoria,TRT3,Guarulhos,Primeira Instância,Médio
P_0037,Societário,Governança,2021-07-10,2022-07-16,2022-10-22,Finalizado,1782360.62,Ganho,77091.25,74726.34,Daniel Oliveira,Global Law,TJMG,Curitiba,Segunda Instância,Baixo
P_0038,Regulatório,Compliance,2020-12-10,2021-09-29,2021-12-14,Finalizado,1821855.54,Perdido,54040.45,14289.54,Daniel Oliveira,Advogados Associados LTDA,TRF1,Osasco,Primeira Instância,Baixo
P_0039,Regulatório,Setorial,2020-07-10,,,Ativo,6034052.23,Em Andamento,288514.83,539223.63,Bruno Costa,Jurídico Soluções,TJMG,Belo Horizonte,Segunda Instância,Médio
P_0040,Tributário,Fiscal,2022-11-12,,,Ativo,3441996.24,Em Andamento,47936.73,46184.91,Daniel Oliveira,Martins & Oliveira Advogados,TRF3,Porto Alegre,Tribunais Superiores,Baixo
P_0041,Ambiental,Sanções,2023-02-11,,,Ativo,3024773.99,Em Andamento,57376.53,267089.57,Carla Souza,Santos & Almeida Consultoria,TRT2,Vitória,Primeira Instância,Médio
P_0042,Societário,Fusões e Aquisições,2023-09-13,,,Ativo,8512334.34,Em Andamento,54543.75,252431.32,Daniel Oliveira,Martins & Oliveira Advogados,ANVISA,Curitiba,Administrativo,Muito Alto
P_0043,Regulatório,Compliance,2021-01-11,2022-04-01,2022-08-15,Finalizado,5570084.72,Ganho,261262.71,532747.53,Bruno Costa,Lex Consultoria,TJSP,Belo Horizonte,Administrativo,Muito Alto
P_0044,Regulatório,Setorial,2020-07-24,2021-02-13,2021-03-31,Finalizado,7907301.4,Acordo,332319.11,166728.63,Carla Souza,Santos & Almeida Consultoria,TJRJ,Curitiba,Tribunais Superiores,Baixo
P_0045,Propriedade Intelectual,Marcas,2020-07-09,,,Ativo,8321346.68,Em Andamento,139392.02,643910.64,Fernanda Lima,Global Law,STF,Campinas,Tribunais Superiores,Baixo
P_0046,Regulatório,Setorial,2023-07-05,2024-10-12,2024-12-24,Finalizado,1385621.88,Acordo,26151.49,103343.18,Bruno Costa,Global Law,TRF3,Salvador,Administrativo,Baixo
P_0047,Cível,Consumidor,2023-02-02,,,Ativo,2325240.53,Em Andamento,105255.41,128851.74,Daniel Oliveira,Martins & Oliveira Advogados,TRF2,Campinas,Segunda Instância,Médio
P_0048,Societário,Fusões e Aquisições,2023-08-24,,,Ativo,2172213.21,Em Andamento,36289.48,128851.76,Carla Souza,Jurídico Soluções,TRF2,Vitória,Primeira Instância,Alto
P_0049,Societário,Governança,2021-12-08,,,Ativo,1102391.89,Em Andamento,5997.9,67529.26,Carla Souza,Santos & Almeida Consultoria,TRT2,Recife,Tribunais Superiores,Médio
P_0050,Cível,Consumidor,2023-10-08,2025-01-14,2025-05-09,Finalizado,6276937.3,Ganho,277225.35,134818.69,Carla Souza,Jurídico Soluções,TRF2,Curitiba,Tribunais Superiores,Médio
P_0051,Regulatório,Compliance,2022-04-29,,,Ativo,417033.46,Em Andamento,16746.19,2120.33,Gustavo Pires,Advogados Associados LTDA,TJMG,Guarulhos,Administrativo,Alto
P_0052,Societário,Fusões e Aquisições,2020-07-01,2020-09-01,2020-10-03,Finalizado,1406117.21,Acordo,47283.7,35158.29,Carla Souza,Santos & Almeida Consultoria,STJ,Rio de Janeiro,Tribunais Superiores,Baixo
P_0053,Regulatório,Setorial,2022-04-29,2022-09-06,2022-11-20,Finalizado,3307580.64,Perdido,55239.2,165745.95,Daniel Oliveira,Jurídico Soluções,CARF,Salvador,Tribunais Superiores,Médio
P_0054,Ambiental,Sanções,2021-09-03,2022-02-17,2022-06-16,Finalizado,9932865.91,Acordo,234601.52,706489.8,Ana Silva,Global Law,ANVISA,São Paulo,Tribunais Superiores,Muito Alto
P_0055,Societário,Fusões e Aquisições,2023-03-28,2023-08-09,2023-09-23,Finalizado,8965626.5,Acordo,5300.72,398379.7,Fernanda Lima,Global Law,TRF3,Porto Alegre,Administrativo,Baixo
P_0056,Regulatório,Setorial,2022-10-25,2023-09-16,2024-01-08,Finalizado,4652214.34,Perdido,46573.24,440561.86,Daniel Oliveira,Jurídico Soluções,TJSP,Brasília,Primeira Instância,Muito Alto
P_0057,Cível,Consumidor,2021-02-19,2021-07-13,2021-09-26,Finalizado,7349627.99,Acordo,85704.64,172614.23,Gustavo Pires,Jurídico Soluções,STF,Guarulhos,Tribunais Superiores,Alto
P_0058,Regulatório,Compliance,2022-03-15,,,Ativo,252289.72,Em Andamento,1595.12,24126.0,Gustavo Pires,Jurídico Soluções,TRT1,Salvador,Primeira Instância,Baixo
P_0059,Ambiental,Sanções,2022-08-27,2023-04-03,2023-06-04,Finalizado,3934766.15,Perdido,41611.33,43176.34,Carla Souza,Jurídico Soluções,TJSP,Vitória,Primeira Instância,Médio
P_0060,Tributário,Fiscal,2023-06-29,2024-05-28,2024-10-30,Finalizado,1878898.26,Ganho,16922.36,177537.94,Ana Silva,Lex Consultoria,TRT1,Rio de Janeiro,Administrativo,Muito Alto
P_0061,Regulatório,Compliance,2022-12-29,,,Ativo,5430991.46,Em Andamento,247234.39,278206.18,Carla Souza,Martins & Oliveira Advogados,STF,Guarulhos,Primeira Instância,Alto
P_0062,Ambiental,Sanções,2024-01-26,,,Ativo,4358220.83,Em Andamento,166921.13,377723.02,Bruno Costa,Lex Consultoria,TRF2,Osasco,Segunda Instância,Muito Alto
P_0063,Trabalhista,Previdenciário,2022-01-15,2023-03-27,2023-05-24,Finalizado,6557564.43,Acordo,120562.02,446321.9,Gustavo Pires,Martins & Oliveira Advogados,TRT1,Fortaleza,Segunda Instância,Baixo
P_0064,Ambiental,Licenciamento,2022-01-23,,,Ativo,7216422.19,Em Andamento,115110.7,294340.14,Bruno Costa,Advogados Associados LTDA,TRT1,Recife,Primeira Instância,Alto
P_0065,Propriedade Intelectual,Patentes,2021-01-13,2021-05-04,2021-06-17,Finalizado,8010249.65,Perdido,4617.53,749361.65,Bruno Costa,Santos & Almeida Consultoria,TRT1,Campinas,Tribunais Superiores,Alto
P_0066,Societário,Fusões e Aquisições,2022-03-23,,,Ativo,1099110.59,Em Andamento,1228.54,47700.65,Gustavo Pires,Santos & Almeida Consultoria,STF,Recife,Administrativo,Alto
P_0067,Cível,Consumidor,2021-10-20,,,Ativo,9664842.38,Em Andamento,301672.52,208939.91,Gustavo Pires,Santos & Almeida Consultoria,TJRJ,Salvador,Tribunais Superiores,Muito Alto
P_0068,Cível,Recuperação de Crédito,2022-06-18,2023-02-02,2023-02-17,Finalizado,8018356.96,Ganho,118304.52,367321.36,Carla Souza,Santos & Almeida Consultoria,TJSP,Brasília,Administrativo,Médio
P_0069,Tributário,Planejamento Tributário,2020-12-07,,,Ativo,8909808.68,Em Andamento,424482.26,752990.02,Carla Souza,Global Law,STF,Osasco,Primeira Instância,Muito Alto
P_0070,Trabalhista,Acidentes de Trabalho,2022-09-12,2023-09-23,2023-11-24,Finalizado,3704250.99,Perdido,11660.04,20186.48,Fernanda Lima,Jurídico Soluções,STF,Osasco,Tribunais Superiores,Alto
P_0071,Propriedade Intelectual,Marcas,2022-05-17,2022-11-05,2023-02-13,Finalizado,5953633.52,Ganho,80268.15,378667.45,Fernanda Lima,Lex Consultoria,TJSP,Porto Alegre,Primeira Instância,Baixo
P_0072,Tributário,Planejamento Tributário,2023-06-17,,,Ativo,9074081.72,Em Andamento,20363.0,733176.57,Daniel Oliveira,Global Law,TRT2,Osasco,Administrativo,Médio
P_0073,Regulatório,Setorial,2020-07-21,2021-06-19,2021-11-09,Finalizado,2286745.15,Perdido,87577.77,24438.58,Daniel Oliveira,Global Law,TJMG,Recife,Tribunais Superiores,Baixo
P_0074,Ambiental,Licenciamento,2023-10-26,,,Ativo,7891970.5,Em Andamento,324177.7,191703.29,Carla Souza,Jurídico Soluções,TRF2,Porto Alegre,Administrativo,Muito Alto
P_0075,Cível,Consumidor,2020-06-09,,,Ativo,1802548.33,Em Andamento,13737.46,114338.39,Fernanda Lima,Santos & Almeida Consultoria,STF,Belo Horizonte,Primeira Instância,Muito Alto
P_0076,Tributário,Fiscal,2021-11-05,2023-02-15,2023-05-01,Finalizado,8051930.88,Perdido,247962.59,660308.67,Bruno Costa,Jurídico Soluções,STJ,Vitória,Administrativo,Muito Alto
P_0077,Societário,Governança,2020-07-03,2021-09-23,2022-01-08,Finalizado,3474752.01,Perdido,167998.99,179977.88,Bruno Costa,Santos & Almeida Consultoria,CARF,Fortaleza,Tribunais Superiores,Médio
P_0078,Trabalhista,Previdenciário,2021-01-11,2022-02-22,2022-05-09,Finalizado,3247906.3,Ganho,68942.29,319322.01,Carla Souza,Santos & Almeida Consultoria,STJ,Curitiba,Tribunais Superiores,Muito Alto
P_0079,Tributário,Fiscal,2022-02-13,2022-08-23,2022-11-10,Finalizado,1400043.56,Perdido,42219.3,6553.05,Bruno Costa,Jurídico Soluções,STF,Vitória,Primeira Instância,Baixo
P_0080,Regulatório,Compliance,2022-11-21,2023-04-03,2023-05-02,Finalizado,5651781.65,Acordo,197212.4,176594.58,Fernanda Lima,Global Law,CARF,Osasco,Segunda Instância,Médio
P_0081,Regulatório,Setorial,2021-02-09,2022-06-16,2022-10-20,Finalizado,6928878.04,Ganho,267896.33,233427.7,Carla Souza,Martins & Oliveira Advogados,STJ,Brasília,Primeira Instância,Alto
P_0082,Societário,Governança,2023-07-31,2023-11-04,2024-03-29,Finalizado,9165335.17,Perdido,229234.32,534357.12,Carla Souza,Advogados Associados LTDA,STF,Rio de Janeiro,Primeira Instância,Alto
P_0083,Ambiental,Licenciamento,2022-07-30,2023-09-16,2024-03-02,Finalizado,1056328.98,Acordo,34094.39,85370.21,Daniel Oliveira,Advogados Associados LTDA,TRF1,Vitória,Segunda Instância,Muito Alto
P_0084,Societário,Fusões e Aquisições,2023-08-20,,,Ativo,2983660.52,Em Andamento,34995.37,113171.56,Ana Silva,Advogados Associados LTDA,TRT3,Rio de Janeiro,Segunda Instância,Médio
P_0085,Regulatório,Setorial,2021-08-26,2022-10-22,2023-04-19,Finalizado,576641.72,Ganho,16141.45,34896.66,Ana Silva,Lex Consultoria,CARF,Salvador,Administrativo,Médio
P_0086,Regulatório,Compliance,2022-04-08,2023-07-24,2023-08-23,Finalizado,1973088.31,Perdido,36532.79,65970.79,Carla Souza,Martins & Oliveira Advogados,TRF1,Guarulhos,Administrativo,Alto
P_0087,Tributário,Fiscal,2023-10-01,2024-04-06,2024-06-04,Finalizado,6532301.09,Perdido,98843.22,85623.05,Gustavo Pires,Lex Consultoria,TRF1,Salvador,Tribunais Superiores,Alto
P_0088,Trabalhista,RH,2022-04-21,2022-11-29,2023-04-14,Finalizado,7608462.23,Ganho,187398.33,734668.03,Bruno Costa,Santos & Almeida Consultoria,TRF3,Porto Alegre,Segunda Instância,Alto
P_0089,Regulatório,Setorial,2021-08-12,,,Ativo,6462513.58,Em Andamento,227389.38,350456.62,Fernanda Lima,Santos & Almeida Consultoria,CARF,Guarulhos,Primeira Instância,Médio
P_0090,Trabalhista,Acidentes de Trabalho,2021-10-22,,,Ativo,7815089.0,Em Andamento,288831.68,180292.05,Carla Souza,Lex Consultoria,STJ,Fortaleza,Tribunais Superiores,Baixo
P_0091,Societário,Governança,2023-11-15,,,Ativo,1255968.77,Em Andamento,13757.23,102278.7,Carla Souza,Jurídico Soluções,TRT3,Fortaleza,Administrativo,Médio
P_0092,Ambiental,Sanções,2020-11-21,,,Ativo,3698346.23,Em Andamento,39889.01,95055.75,Fernanda Lima,Jurídico Soluções,CADE,Salvador,Administrativo,Médio
P_0093,Trabalhista,Previdenciário,2021-03-28,,,Ativo,9541512.5,Em Andamento,127566.32,443623.9,Fernanda Lima,Martins & Oliveira Advogados,ANVISA,Salvador,Administrativo,Baixo
P_0094,Societário,Fusões e Aquisições,2020-01-19,,,Ativo,8032065.72,Em Andamento,59823.0,672951.45,Carla Souza,Martins & Oliveira Advogados,CADE,Porto Alegre,Segunda Instância,Muito Alto
P_0095,Propriedade Intelectual,Marcas,2020-09-12,2021-12-05,2022-04-11,Finalizado,5433444.39,Ganho,250092.01,275524.38,Fernanda Lima,Martins & Oliveira Advogados,STJ,Guarulhos,Primeira Instância,Muito Alto
P_0096,Societário,Governança,2020-01-24,2021-02-25,2021-06-07,Finalizado,8861083.49,Perdido,97470.6,607593.48,Gustavo Pires,Advogados Associados LTDA,TJMG,Porto Alegre,Segunda Instância,Alto
P_0097,Tributário,Planejamento Tributário,2022-03-15,,,Ativo,8514577.29,Em Andamento,87353.53,231027.41,Carla Souza,Advogados Associados LTDA,TRT1,Rio de Janeiro,Tribunais Superiores,Baixo
P_0098,Propriedade Intelectual,Patentes,2023-09-14,2024-10-15,2024-11-05,Finalizado,9641828.28,Perdido,435831.19,585004.35,Fernanda Lima,Advogados Associados LTDA,TJSP,Porto Alegre,Tribunais Superiores,Alto
P_0099,Regulatório,Compliance,2020-01-30,2020-11-24,2021-02-02,Finalizado,9026240.73,Ganho,228996.67,107810.22,Bruno Costa,Advogados Associados LTDA,TRT2,Guarulhos,Primeira Instância,Alto
P_0100,Ambiental,Sanções,2023-04-18,,,Ativo,4907792.16,Em Andamento,232937.6,376839.73,Carla Souza,Martins & Oliveira Advogados,TRF2,Fortaleza,Tribunais Superiores,Médio
P_0101,Cível,Recuperação de Crédito,2020-07-29,2020-11-05,2021-04-30,Finalizado,583670.72,Acordo,3420.26,23520.32,Carla Souza,Lex Consultoria,TJMG,Rio de Janeiro,Administrativo,Médio
P_0102,Propriedade Intelectual,Direitos Autorais,2021-06-15,2022-01-10,2022-04-29,Finalizado,7643976.89,Perdido,377318.18,248472.45,Ana Silva,Global Law,CARF,Campinas,Tribunais Superiores,Baixo
P_0103,Cível,Consumidor,2022-04-13,,,Ativo,7749998.81,Em Andamento,16736.46,668518.57,Bruno Costa,Jurídico Soluções,TJMG,Porto Alegre,Administrativo,Alto
P_0104,Propriedade Intelectual,Direitos Autorais,2020-08-21,2021-02-16,2021-06-29,Finalizado,9020376.85,Ganho,413401.29,812979.31,Fernanda Lima,Jurídico Soluções,TRF2,Vitória,Tribunais Superiores,Baixo
P_0105,Tributário,Fiscal,2023-03-23,2023-06-08,2023-10-17,Finalizado,4921539.99,Acordo,163573.01,180421.89,Fernanda Lima,Lex Consultoria,TRT1,Curitiba,Primeira Instância,Baixo
P_0106,Cível,Recuperação de Crédito,2022-11-20,,,Ativo,5836772.58,Em Andamento,115527.94,249629.64,Bruno Costa,Jurídico Soluções,TRT1,Vitória,Primeira Instância,Muito Alto
P_0107,Ambiental,Licenciamento,2020-01-26,2021-01-13,2021-05-03,Finalizado,1128423.62,Perdido,47424.52,59535.78,Bruno Costa,Martins & Oliveira Advogados,TRF2,Curitiba,Tribunais Superiores,Baixo
P_0108,Societário,Fusões e Aquisições,2023-06-24,2024-06-20,2024-07-27,Finalizado,895505.25,Ganho,33487.39,16603.07,Daniel Oliveira,Martins & Oliveira Advogados,TJRJ,Osasco,Administrativo,Alto
P_0109,Ambiental,Sanções,2020-03-05,,,Ativo,28681.16,Em Andamento,1162.81,2769.85,Bruno Costa,Santos & Almeida Consultoria,TRF2,Rio de Janeiro,Administrativo,Alto
P_0110,Ambiental,Sanções,2023-06-10,,,Ativo,3543111.19,Em Andamento,59635.07,341716.83,Ana Silva,Santos & Almeida Consultoria,TRF2,Recife,Primeira Instância,Baixo
P_0111,Cível,Contratos,2020-03-18,2020-07-20,2020-12-25,Finalizado,2293701.67,Ganho,26329.76,43225.32,Daniel Oliveira,Advogados Associados LTDA,CADE,Belo Horizonte,Segunda Instância,Médio
P_0112,Ambiental,Sanções,2023-06-08,2023-09-07,2023-12-28,Finalizado,2880339.18,Perdido,35535.95,233504.49,Fernanda Lima,Global Law,TJMG,Belo Horizonte,Segunda Instância,Baixo
P_0113,Propriedade Intelectual,Direitos Autorais,2020-12-23,,,Ativo,5063650.66,Em Andamento,253074.48,1480.5,Bruno Costa,Jurídico Soluções,TRT2,Osasco,Segunda Instância,Baixo
P_0114,Societário,Fusões e Aquisições,2021-06-05,2022-04-08,2022-09-13,Finalizado,1097114.11,Acordo,49711.8,29968.54,Fernanda Lima,Lex Consultoria,TJRJ,Rio de Janeiro,Tribunais Superiores,Alto
P_0115,Regulatório,Setorial,2023-04-09,,,Ativo,5840784.2,Em Andamento,283052.79,523462.87,Daniel Oliveira,Martins & Oliveira Advogados,TRF1,Brasília,Segunda Instância,Médio
P_0116,Trabalhista,Acidentes de Trabalho,2022-01-20,2023-03-08,2023-08-09,Finalizado,574990.94,Perdido,28258.72,25956.06,Ana Silva,Martins & Oliveira Advogados,TJMG,Osasco,Segunda Instância,Baixo
P_0117,Ambiental,Sanções,2021-01-02,2021-03-09,2021-04-08,Finalizado,6452095.77,Perdido,274912.7,475011.93,Bruno Costa,Lex Consultoria,STJ,Vitória,Tribunais Superiores,Alto
P_0118,Ambiental,Sanções,2021-07-14,2022-01-11,2022-01-30,Finalizado,9412837.14,Ganho,166028.17,450722.95,Bruno Costa,Martins & Oliveira Advogados,CADE,Fortaleza,Primeira Instância,Muito Alto
P_0119,Tributário,Fiscal,2023-06-21,2024-02-07,2024-03-06,Finalizado,5421105.58,Perdido,159116.54,72580.11,Daniel Oliveira,Global Law,TRF3,Curitiba,Administrativo,Médio
P_0120,Trabalhista,Previdenciário,2023-06-12,2024-07-19,2024-12-03,Finalizado,5428717.31,Perdido,236422.6,532400.23,Daniel Oliveira,Martins & Oliveira Advogados,ANVISA,São Paulo,Tribunais Superiores,Alto
P_0121,Propriedade Intelectual,Direitos Autorais,2021-02-23,2022-05-16,2022-09-08,Finalizado,938404.03,Perdido,23044.11,31257.64,Carla Souza,Advogados Associados LTDA,TRT3,Guarulhos,Primeira Instância,Médio
P_0122,Ambiental,Sanções,2021-09-20,2022-06-07,2022-07-30,Finalizado,3836634.23,Acordo,162141.17,192289.85,Daniel Oliveira,Santos & Almeida Consultoria,TRT3,Salvador,Segunda Instância,Baixo
P_0123,Ambiental,Licenciamento,2023-11-04,2023-12-07,2024-05-11,Finalizado,5753732.66,Acordo,286481.75,370774.35,Bruno Costa,Santos & Almeida Consultoria,TRT2,Campinas,Segunda Instância,Médio
P_0124,Societário,Fusões e Aquisições,2022-02-04,,,Ativo,8544391.26,Em Andamento,338587.64,479720.84,Gustavo Pires,Global Law,TRF1,Recife,Tribunais Superiores,Baixo
P_0125,Trabalhista,Previdenciário,2022-05-14,,,Ativo,9304265.04,Em Andamento,137560.76,191606.27,Ana Silva,Jurídico Soluções,TJMG,Curitiba,Tribunais Superiores,Médio
P_0126,Regulatório,Compliance,2023-03-10,2023-11-27,2024-01-31,Finalizado,641650.29,Perdido,21911.45,53323.74,Bruno Costa,Jurídico Soluções,STJ,Salvador,Administrativo,Alto
P_0127,Trabalhista,Acidentes de Trabalho,2023-03-07,,,Ativo,3055737.86,Em Andamento,14829.31,137117.83,Fernanda Lima,Santos & Almeida Consultoria,TJRJ,Belo Horizonte,Primeira Instância,Muito Alto
P_0128,Propriedade Intelectual,Direitos Autorais,2022-07-25,2023-02-26,2023-07-01,Finalizado,2919801.86,Ganho,19077.02,87615.4,Daniel Oliveira,Santos & Almeida Consultoria,TRF2,Campinas,Segunda Instância,Alto
P_0129,Trabalhista,Previdenciário,2022-12-21,2023-11-18,2024-03-08,Finalizado,5081770.38,Ganho,43080.34,168683.36,Bruno Costa,Advogados Associados LTDA,TJRJ,Recife,Segunda Instância,Baixo
P_0130,Ambiental,Sanções,2020-04-01,2020-11-09,2021-05-06,Finalizado,9305995.74,Ganho,110643.61,736690.84,Gustavo Pires,Martins & Oliveira Advogados,TRT3,Recife,Primeira Instância,Alto
P_0131,Societário,Governança,2022-05-29,,,Ativo,9603611.95,Em Andamento,149096.0,366409.88,Ana Silva,Lex Consultoria,TJMG,Brasília,Segunda Instância,Alto
